Txn Date,Description,Debit,Credit,Balance
01/01/2026,UPI/89234/SWIGGY/HDFC,450.00,,52340.00
01/01/2026,UPI/89235/DELHI METRO/HDFC,40.00,,52300.00
02/01/2026,NEFT/SALARY/JAN/ACME CORP,,85000.00,137300.00
03/01/2026,UPI/89301/ZOMATO/HDFC,380.00,,136920.00
05/01/2026,UPI/89402/NETFLIX/HDFC,649.00,,136271.00
05/01/2026,UPI/89403/SPOTIFY/HDFC,119.00,,136152.00
07/01/2026,POS/AMAZON.IN/MUMBAI,2499.00,,133653.00
10/01/2026,BILL PAYMENT/TATA POWER,2150.00,,131503.00
12/01/2026,UPI/90102/BIGBASKET/HDFC,1850.00,,129653.00
15/01/2026,SMS ALERT CHARGES Q3 2025-26,59.00,,129594.00
18/01/2026,UPI/90501/UBER INDIA/HDFC,320.00,,129274.00
20/01/2026,UPI/90601/SWIGGY/HDFC,520.00,,128754.00
22/01/2026,POS/STARBUCKS/DELHI,430.00,,128324.00
25/01/2026,UPI/91001/FLIPKART/HDFC,3200.00,,125124.00
28/01/2026,UPI/91201/BLINKIT/HDFC,680.00,,124444.00
30/01/2026,AMC/MAINTENANCE/CHARGE/HDFC/DEBITCARD,295.00,,124149.00
