Value Date,Transaction Remarks,Amount (INR),Balance (INR)
01-Jan-2026,UPI/SWIGGY/89234/ICICI,450.00,52340.00
02-Jan-2026,NEFT-SALARY-ACME CORP-JAN26,-85000.00,137340.00
03-Jan-2026,UPI/ZOMATO/89301/ICICI,380.00,136960.00
05-Jan-2026,UPI/NETFLIX/89402/ICICI,649.00,136311.00
05-Jan-2026,UPI/SPOTIFY INDIA/89403,119.00,136192.00
07-Jan-2026,POS TXN/FLIPKART INTERNET,2200.00,133992.00
10-Jan-2026,BILL PAY/JIO FIBER/JAN,999.00,132993.00
12-Jan-2026,UPI/BIGBASKET/90102/ICICI,1650.00,131343.00
15-Jan-2026,QTRLY SMS CHARGES + GST,70.80,131272.20
18-Jan-2026,UPI/UBER INDIA/90501/ICICI,350.00,130922.20
20-Jan-2026,UPI/SWIGGY/90601/ICICI,480.00,130442.20
22-Jan-2026,POS TXN/PVR CINEMAS DELHI,600.00,129842.20
25-Jan-2026,UPI/AMAZON.IN/91001/ICICI,5800.00,124042.20
28-Jan-2026,UPI/APOLLO PHARMACY/91201,320.00,123722.20
30-Jan-2026,ANNUAL DEBIT CARD FEE,499.00,123223.20
