Transaction Date,Particulars,Withdrawal (Dr),Deposit (Cr),Closing Balance
2026-01-01,UPI-SWIGGY-89234@HDFC,450.00,,52340.00
2026-01-02,SAL/JAN/ACME CORP,,85000.00,137340.00
2026-01-03,UPI-ZOMATO-89301@SBI,380.00,,136960.00
2026-01-05,UPI-NETFLIX-89402@SBI,649.00,,136311.00
2026-01-05,UPI-SPOTIFY-89403@SBI,119.00,,136192.00
2026-01-07,POS/MYNTRA/DELHI NCR,1800.00,,134392.00
2026-01-10,ELECTRICITY BILL/TATA PWR,2150.00,,132242.00
2026-01-12,UPI-BIGBASKET-90102@SBI,1850.00,,130392.00
2026-01-15,SERVICE CHARGE + GST,88.50,,130303.50
2026-01-18,UPI-OLA CABS-90501@SBI,280.00,,130023.50
2026-01-20,UPI-DOMINOS-90601@SBI,650.00,,129373.50
2026-01-22,ATM CASH WITHDRAWAL,5000.00,,124373.50
2026-01-25,UPI-AMAZON.IN-91001@SBI,4500.00,,119873.50
2026-01-28,UPI-DMART-91201@SBI,2800.00,,117073.50
2026-01-30,DEBIT CARD AMC CHARGES,200.00,,116873.50
